# ALEPH Thrust Distribution -- (1/N)dN/dtau -- corrected for detector effects
# Analysis: thrust_alphas, Phase 4a (updated after Category A fix)
# tau_center, tau_lo, tau_hi, dNdtau, stat_unc, syst_unc, total_unc
0.0500,0.0400,0.0600,7.442043e+00,7.510647e-03,1.161682e+00,1.161706e+00
0.0700,0.0600,0.0800,4.540230e+00,6.364133e-03,6.978775e-01,6.979065e-01
0.0900,0.0800,0.1000,3.028242e+00,4.846708e-03,4.964178e-01,4.964415e-01
0.1100,0.1000,0.1200,2.150384e+00,4.075252e-03,3.529356e-01,3.529592e-01
0.1300,0.1200,0.1400,1.593327e+00,3.484677e-03,2.410205e-01,2.410457e-01
0.1500,0.1400,0.1600,1.183512e+00,2.897747e-03,2.262462e-01,2.262648e-01
0.1700,0.1600,0.1800,9.163910e-01,2.476744e-03,1.690644e-01,1.690825e-01
0.1900,0.1800,0.2000,7.318492e-01,2.241996e-03,9.848423e-02,9.850975e-02
0.2100,0.2000,0.2200,5.781245e-01,1.906385e-03,9.398975e-02,9.400908e-02
0.2300,0.2200,0.2400,4.464151e-01,1.610658e-03,9.263333e-02,9.264733e-02
0.2500,0.2400,0.2600,3.510188e-01,1.374551e-03,7.421154e-02,7.422427e-02
0.2700,0.2600,0.2800,2.774584e-01,1.196332e-03,3.970097e-02,3.971899e-02
0.2900,0.2800,0.3000,2.074454e-01,1.048909e-03,3.989663e-02,3.991042e-02
